"Project.Name","UNIT","SEARCH.AREA","Time","Date","EASTING","NORTHING","MolluskCode","ScientificName","Type","CommonName","Count"
"Nehalem","31-1","SA1",2011-10-28 15:00:00,2011-10-28,"492073",5080757,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-1","SA10",2011-10-28 16:45:00,2011-10-28,"492064",5080488,"ARCO","Ariolimax columbiana","Slug","Banana slug","1"
"Nehalem","31-1","SA10",2011-10-28 16:45:00,2011-10-28,"492064",5080488,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-1","SA12",2011-10-27 17:45:00,2011-10-27,"492186",5080244,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-1","SA13",2011-10-28 08:00:00,2011-10-28,"492265",508029,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","3"
"Nehalem","31-1","SA14",2011-10-27 16:30:00,2011-10-27,"492152",508008,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","31-1","SA14",2011-10-27 16:30:00,2011-10-27,"492152",508008,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-1","SA2",2011-10-28 14:15:00,2011-10-28,"492162",5080813,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","3"
"Nehalem","31-1","SA7",2011-10-28 16:00:00,2011-10-28,"492269",5080545,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","31-1","SA7",2011-10-28 16:00:00,2011-10-28,"492269",5080545,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-1","SA8",2011-10-28 10:15:00,2011-10-28,"492029",5080613,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-1","SA8",2011-10-28 10:15:00,2011-10-28,"492029",5080613,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-1","SA9",2011-10-28 09:15:00,2011-10-28,"492229",5080402,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-1","SA9",2011-10-28 09:15:00,2011-10-28,"492229",5080402,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-1","SA9",2011-10-28 09:15:00,2011-10-28,"492229",5080402,"MOFI","Monadenia fidelis","Snail","Pacific Sideband snail","1"
"Nehalem","31-2","SA1",2011-11-01 08:30:00,2011-11-01,"492723",5080510,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","31-2","SA1",2011-11-01 08:30:00,2011-11-01,"492723",5080510,"PRAN","Prophysaon andersoni","Slug","Reticulate Taildropper slug","1"
"Nehalem","31-2","SA10",2011-11-02 10:15:00,2011-11-02,"492739",5079743,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","31-2","SA11",2011-10-26 16:30:00,2011-10-26,"492768",5079502,"HEGL","Hemphillia glandulosa","Slug","Warty jumping slug","1"
"Nehalem","31-2","SA12",2011-10-26 17:30:00,2011-10-26,"492682",5079448,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA12",2011-10-26 17:30:00,2011-10-26,"492682",5079448,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
